ID,number_of_messages,mean_time
004,3,1006.33
008,6,557.167
025,6,564.167
181,2,1713.5
182,2,1705
201,3,1007.33
202,3,1008.33
207,1,2939
224,3,1020.33
227,1,2932
305,1,2988
325,1,2996
430,1,2768
