ID,number_of_messages,mean_time
004,29,352.207
005,1,10168
008,30,339.7
025,36,281.806
046,3,3267.33
108,1,5180
109,3,2928.67
121,1,7755
128,3,2716
181,23,408.957
182,23,410.522
201,29,352.448
202,29,353.931
204,3,3271.67
207,7,1326.71
224,28,361.5
227,7,1321.43
305,7,1332.14
308,3,2716.67
309,4,1842
30A,2,4529
325,7,1337.14
328,3,2733.67
32A,2,4526.5
345,3,2700
368,3,2785.67
388,3,2792.33
3A8,3,2803.33
421,1,7759
430,2,4481
