ID,number_of_messages,mean_time
004,33,315.576
005,3,1424.33
007,1,9021
008,34,305.441
025,42,247.452
046,4,2556.25
108,1,4453
109,4,2384.75
128,4,2237
181,29,341.897
182,30,351.767
201,33,317.091
202,33,318.303
204,4,2550.75
207,7,1382.86
224,33,318.394
227,7,1375.57
247,1,8987
305,7,1388.86
307,1,9064
308,4,2245.75
30A,1,2510
325,7,1393.43
328,4,2267.5
32A,1,2470
345,3,2981
348,1,4438
368,4,2288.5
388,4,2293.25
3A8,4,2296.25
3C8,1,4397
430,2,3798.5
441,1,9093
461,1,4434
