ID,number_of_messages,mean_time
004,29,341.448
005,1,9870
008,30,329.633
025,36,273.917
046,3,3181.33
108,1,4906
109,3,2897.67
121,1,7342
128,3,2618.67
181,23,400.87
182,23,401.261
201,29,342
202,29,343.517
204,3,3185.33
207,7,1298.71
224,28,350.643
227,7,1296.29
305,7,1304.71
308,3,2624.67
309,4,1721.75
30A,2,4492.5
325,7,1307.29
328,3,2629.33
32A,2,4479
345,3,2608
368,3,2682.33
388,3,2697.33
3A8,3,2706.67
421,1,7348
430,2,4431.5
