ID,number_of_messages,mean_time
004,26,405.5
007,1,5569
008,29,361.448
025,33,316.152
046,3,3034
109,4,2607
128,4,2466.25
181,31,332.581
182,30,343.867
201,25,414.24
202,27,388.889
204,3,3025.67
207,7,1383.14
224,26,399.615
227,7,1378.14
247,1,5520
305,7,1388.29
307,1,5618
308,4,2476.75
325,7,1392.43
328,4,2487.75
345,4,2462.75
368,4,2543.25
388,4,2547.75
3A8,4,2552.25
430,2,4160.5
441,1,5661
