ID,number_of_messages,mean_time
004,26,394.538
007,1,5233
008,29,352.517
025,33,308.697
046,3,2977
109,4,2543
128,4,2412.5
181,31,324.161
182,30,335.7
201,25,403.2
202,27,379.778
204,3,2975.67
207,7,1342.71
224,26,389.5
227,7,1341.57
247,1,5193
305,7,1349.14
307,1,5284
308,4,2415.25
325,7,1354.29
328,4,2418
345,4,2400.5
368,4,2464.25
388,4,2469.5
3A8,4,2472.75
430,2,4047.5
441,1,5337
