ID,number_of_messages,mean_time
004,29,357.655
005,1,10288
008,30,344.333
025,36,285.333
046,3,3275
108,1,5211
109,3,2976.33
121,1,7468
128,3,2662.67
181,23,410.87
182,23,411.261
201,29,358.517
202,29,358.724
204,3,3288.67
207,7,1337.29
224,28,365.393
227,7,1336.71
305,7,1339
308,3,2665
309,4,1759.5
30A,2,4617.5
325,7,1343.57
328,3,2678.67
32A,2,4595.5
345,3,2659
368,3,2759.67
388,3,2768.67
3A8,3,2782.33
421,1,7514
430,2,4551
