ID,number_of_messages,mean_time
004,3,1118
008,6,618.833
025,6,626.667
181,2,1887.5
182,2,1883.5
201,3,1122.67
202,3,1126
207,1,3294
224,3,1136.67
227,1,3247
305,1,3307
325,1,3322
430,1,2960
