ID,number_of_messages,mean_time
004,33,312.212
005,3,1339.67
007,1,8886
008,34,301.353
025,42,244.381
046,4,2529
108,1,4237
109,4,2368.75
128,4,2202.75
181,29,338.931
182,30,345.867
201,33,313.182
202,33,313.333
204,4,2516.5
207,7,1372.29
224,33,313.545
227,7,1369
247,1,8881
305,7,1375.57
307,1,8919
308,4,2213.75
30A,1,2400
325,7,1380.86
328,4,2239.75
32A,1,2395
345,3,2925
348,1,4232
368,4,2269.5
388,4,2271.25
3A8,4,2275
3C8,1,4188
430,2,3747
441,1,8983
461,1,4190
