ID,number_of_messages,mean_time
004,29,361.793
005,1,10454
008,30,349.567
025,36,289.111
046,3,3339
108,1,5378
109,3,3035
121,1,7867
128,3,2753.33
181,23,424.391
182,23,424.957
201,29,362.069
202,29,363.517
204,3,3353
207,7,1370
224,28,370.964
227,7,1365.43
305,7,1376.71
308,3,2767
309,4,1847.5
30A,2,4713
325,7,1383.71
328,3,2780.67
32A,2,4707.5
345,3,2751.67
368,3,2847.33
388,3,2854.67
3A8,3,2869
421,1,7895
430,2,4661.5
