ID,number_of_messages,mean_time
004,3,1043.67
008,6,586.167
025,6,591.833
181,2,1806
182,2,1781.5
201,3,1059.67
202,3,1076.33
207,1,3057
224,3,1077.67
227,1,3032
305,1,3093
325,1,3126
430,1,2825
