ID,number_of_messages,mean_time
004,33,315.212
005,3,1468.33
007,1,8929
008,34,304.676
025,42,246.929
046,4,2542.25
108,1,4610
109,4,2344
128,4,2216
181,29,335.586
182,30,350.967
201,33,315.848
202,33,317.242
204,4,2532.25
207,7,1361.43
224,33,318.061
227,7,1355.86
247,1,8893
305,7,1367.29
307,1,8944
308,4,2217.5
30A,1,2544
325,7,1372.14
328,4,2237.25
32A,1,2498
345,3,2948.33
348,1,4581
368,4,2271
388,4,2283.5
3A8,4,2284.75
3C8,1,4511
430,2,3789.5
441,1,8955
461,1,4542
