ID,number_of_messages,mean_time
004,33,305.424
005,3,1420.33
007,1,8580
008,34,294.794
025,42,239.381
046,4,2459.5
108,1,4515
109,4,2274.25
128,4,2126.25
181,29,322.552
182,30,340.1
201,33,306.333
202,33,306.606
204,4,2456.75
207,7,1307.57
224,33,307.636
227,7,1302.29
247,1,8554
305,7,1314.14
307,1,8626
308,4,2132.75
30A,1,2462
325,7,1317.86
328,4,2163.5
32A,1,2414
345,3,2828.33
348,1,4473
368,4,2189.75
388,4,2200
3A8,4,2212.25
3C8,1,4379
430,2,3688.5
441,1,8690
461,1,4416
