ID,number_of_messages,mean_time
004,26,407.615
007,1,5526
008,29,363.586
025,33,319.182
046,3,3100.67
109,4,2627.25
128,4,2472.25
181,31,334.226
182,30,345.967
201,25,417.36
202,27,391.556
204,3,3100
207,7,1396.43
224,26,403.192
227,7,1389.29
247,1,5496
305,7,1401.71
307,1,5541
308,4,2481.25
325,7,1402.14
328,4,2486
345,4,2467
368,4,2538
388,4,2545.5
3A8,4,2549.25
430,2,4280
441,1,5581
