ID,number_of_messages,mean_time
004,29,352.897
005,1,10187
008,30,339.7
025,36,282.417
046,3,3286.67
108,1,5222
109,3,2945.67
121,1,7742
128,3,2746
181,23,411.652
182,23,412.087
201,29,353.862
202,29,354.138
204,3,3294
207,7,1338.43
224,28,363.071
227,7,1331.71
305,7,1342.29
308,3,2759.67
309,4,1820.75
30A,2,4570.5
325,7,1346.29
328,3,2774.67
32A,2,4551
345,3,2741.67
368,3,2826.33
388,3,2842.67
3A8,3,2852.67
421,1,7778
430,2,4506.5
