ID,number_of_messages,mean_time
004,29,261.172
005,1,0
008,30,239.067
025,36,196.944
046,3,1800.67
108,1,0
109,3,1857
121,1,0
128,3,1850
181,23,309.696
182,23,307.957
201,29,261.069
202,29,260.138
204,3,1812.33
207,7,1008.14
224,28,262.536
227,7,1009.29
305,7,1013.86
308,3,1843.67
309,4,93
30A,2,2338
325,7,1013.71
328,3,1828.33
32A,2,2320
345,3,1850
368,3,1786.33
388,3,1779
3A8,3,1778.67
421,1,0
430,2,1498
