ID,number_of_messages,mean_time
004,26,320.115
007,1,0
008,29,287.517
025,33,264.879
046,3,1658.67
109,4,1735.25
128,4,1946.5
181,31,276.323
182,30,285.333
201,25,323.72
202,27,331.963
204,3,1638.33
207,7,1115.14
224,26,337.538
227,7,1110
247,1,0
305,7,1113.71
307,1,0
308,4,1938.25
325,7,1113.57
328,4,1939
345,4,1943.25
368,4,1989.75
388,4,1992.5
3A8,4,2005.75
430,2,2430.5
441,1,0
