ID,number_of_messages,mean_time
004,3,1004
008,6,561.167
025,6,568.5
181,2,1742.5
182,2,1721
201,3,1020.67
202,3,1029
207,1,2978
224,3,1039.67
227,1,2933
305,1,2987
325,1,3000
430,1,2664
