ID,number_of_messages,mean_time
004,33,318.909
005,3,1479
007,1,9092
008,34,308.029
025,42,249.881
046,4,2566.75
108,1,4653
109,4,2398.5
128,4,2250.5
181,29,341.724
182,30,355.033
201,33,319.667
202,33,321
204,4,2559.25
207,7,1388.57
224,33,321.879
227,7,1384.86
247,1,9044
305,7,1393.14
307,1,9101
308,4,2256.25
30A,1,2633
325,7,1396.14
328,4,2277.25
32A,1,2582
345,3,2987.33
348,1,4633
368,4,2303.75
388,4,2305.75
3A8,4,2314.5
3C8,1,4565
430,2,3848
441,1,9138
461,1,4587
