ID,number_of_messages,mean_time
004,29,344.793
005,1,9945
008,30,333.033
025,36,276.083
046,3,3198
108,1,5364
109,3,2873
121,1,7615
128,3,2675.67
181,23,401.87
182,23,403.043
201,29,345.931
202,29,346.241
204,3,3207
207,7,1301.43
224,28,354.679
227,7,1294.57
305,7,1304.71
308,3,2677.33
309,4,1784
30A,2,4451
325,7,1310.71
328,3,2678.67
32A,2,4429
345,3,2663.67
368,3,2735.67
388,3,2740.33
3A8,3,2753.67
421,1,7655
430,2,4381.5
